full_address,shape_X,shape_Y
"235C Bay View Road, Saint Clair, Dunedin",170.4881185,-45.9064594
"606 Highcliff Road, Highcliff, Dunedin",170.5722052,-45.88611503
"495 Brighton Road, Westwood, Dunedin",170.3818163,-45.93169738
"186 Main South Road, East Taieri, Mosgiel",170.3271547,-45.90027242
"203 Main South Road, Green Island, Dunedin",170.4290397,-45.90191207
"66A Cutten Street, South Dunedin, Dunedin",170.4961137,-45.89751533
"31 School Street, Kaikorai, Dunedin",170.489245,-45.86572195
"19B Pentland Street, North East Valley, Dunedin",170.5295606,-45.84792288
"27A Prince Albert Road, Saint Kilda, Dunedin",170.5050369,-45.90083143
"54 Cutten Street, South Dunedin, Dunedin",170.4961624,-45.89690607
"17 Edgar Street, Wakari, Dunedin",170.4812228,-45.85953147
"38 Seaview Road, Brighton, Dunedin",170.3335284,-45.94427573
"1000 Brighton Road, Brighton, Dunedin",170.3330408,-45.94594647
"60 Bush Road, Mosgiel",170.3397357,-45.87595978
"53 Reservoir Road, Sawyers Bay, Dunedin",170.6040749,-45.81353402
"3 Howe Street, North Dunedin, Dunedin",170.5127985,-45.8589212
"52 King Edward Street, Kensington, Dunedin",170.49702,-45.89128193
"154 Melbourne Street, South Dunedin, Dunedin",170.4966394,-45.89921718
"19C Highgrove, Saint Clair, Dunedin",170.478978,-45.91731998
"450 Saddle Hill Road, Scroggs Hill, Dunedin",170.3237312,-45.9148747
"25 Bennett Road, Ocean View, Dunedin",170.3388342,-45.93947968
"898 Brighton Road, Ocean View, Dunedin",170.3389647,-45.94183157
"49 Stirling Crescent, Mosgiel",170.3539974,-45.86878998
"393 Taieri Road, Halfway Bush, Dunedin",170.4693522,-45.8562062
"409 Taieri Road, Halfway Bush, Dunedin",170.4682434,-45.85557153
"26 Princes Street, Dunedin Central, Dunedin",170.502942,-45.87488948
"7A Begg Street, Saint Kilda, Dunedin",170.5084791,-45.89821858
"37 Teignmouth Street, Abbotsford, Dunedin",170.424218,-45.895458
"15 Garden Place, Glenleith, Dunedin",170.499971,-45.844231
"60A Mornington Road, Balaclava, Dunedin",170.4674963,-45.89060337
"5 Paterson Street, Abbotsford, Dunedin",170.4243741,-45.8993667
"123 Harbour Terrace, North Dunedin, Dunedin",170.5214035,-45.86368647
"6 Frasers Road, Glenross, Dunedin",170.4797361,-45.86678403
"1 Montecillo Lane, Mornington, Dunedin",170.4889313,-45.8865857
